IntersectionId,PanoramaId,Borough,Long,Lat,URL,TrafficSignal,ImageDate,n_decoders,public_median,private_median
AXkw4--42iuwklCl-qpo,SWtOn_CWUoX-uHgQxfbaHA,Brooklyn,-73.9370410000421,40.6416580000167,https://www.google.com/maps/@?api=1&map_action=pano&pano=SWtOn_CWUoX-uHgQxfbaHA,,2011-06,3,0.0,0.0
AXkw4--72iuwklCl-qpp,y_2xU7xYueZwCwS06zlukQ,Brooklyn,-73.9724659996062,40.6961800996319,https://www.google.com/maps/@?api=1&map_action=pano&pano=y_2xU7xYueZwCwS06zlukQ,,2018-09,3,0.0,0.0
AXkw4--b2iuwklCl-qpn,yNNsZ1PS6j7Na5rl1lTZGg,Brooklyn,-73.9718720000927,40.6932095004182,https://www.google.com/maps/@?api=1&map_action=pano&pano=yNNsZ1PS6j7Na5rl1lTZGg,,2020-11,3,0.0,2.0
AXkw4-062iuwklCl-qpH,3wynTva9c1qcFwQqRXyHhA,Brooklyn,-73.9542810000681,40.6405890001823,https://www.google.com/maps/@?api=1&map_action=pano&pano=3wynTva9c1qcFwQqRXyHhA,,2020-11,3,0.0,0.0
AXkw4-072iuwklCl-qpI,Jyuo_fzIAe4Pl9piq_WeMw,Brooklyn,-73.9885461997473,40.702482699617,https://www.google.com/maps/@?api=1&map_action=pano&pano=Jyuo_fzIAe4Pl9piq_WeMw,,2019-07,3,0.0,1.0
AXkw4-0Y2iuwklCl-qpF,09Qlb_eLhlNPD_vvuUHFtg,Brooklyn,-73.9885449002269,40.6983711997711,https://www.google.com/maps/@?api=1&map_action=pano&pano=09Qlb_eLhlNPD_vvuUHFtg,,2020-11,3,0.0,0.0
AXkw4-0Y2iuwklCl-qpG,9VChBrbXbJTW9WaWn92Nsw,Brooklyn,-73.9739092999742,40.6408892001765,https://www.google.com/maps/@?api=1&map_action=pano&pano=9VChBrbXbJTW9WaWn92Nsw,,2020-11,3,0.0,0.0
AXkw4-182iuwklCl-qpL,ynZ0W_e3mutyD9W2AWZang,Brooklyn,-73.9886916003371,40.7006977998636,https://www.google.com/maps/@?api=1&map_action=pano&pano=ynZ0W_e3mutyD9W2AWZang,,2019-11,3,0.0,2.0
AXkw4-1c2iuwklCl-qpK,25c1aPJtzoqr54DciadP2A,Brooklyn,-73.9889309998657,40.7038339004142,https://www.google.com/maps/@?api=1&map_action=pano&pano=25c1aPJtzoqr54DciadP2A,,2014-07,3,0.0,0.0
AXkw4-2_2iuwklCl-qpP,1S6s663P9v1-8qEY_3_ROg,Brooklyn,-73.9552499997876,40.6405290001133,https://www.google.com/maps/@?api=1&map_action=pano&pano=1S6s663P9v1-8qEY_3_ROg,,2019-10,3,0.0,0.0
AXkw4-2c2iuwklCl-qpN,vhxF7u9AUaYEodWBc7QjyQ,Brooklyn,-73.9016510002934,40.6537520001547,https://www.google.com/maps/@?api=1&map_action=pano&pano=vhxF7u9AUaYEodWBc7QjyQ,,2018-06,3,0.0,2.0
AXkw4-372iuwklCl-qpS,umf2aKHV8F1NW1KAD_fhNg,Brooklyn,-73.9533090002101,40.6406490002512,https://www.google.com/maps/@?api=1&map_action=pano&pano=umf2aKHV8F1NW1KAD_fhNg,,2020-11,3,0.0,0.0
AXkw4-4e2iuwklCl-qpU,o6OEdFm36NL0If795r0PIg,Brooklyn,-73.9523760003521,40.6407070002279,https://www.google.com/maps/@?api=1&map_action=pano&pano=o6OEdFm36NL0If795r0PIg,,2020-11,3,0.0,0.0
AXkw4-5D2iuwklCl-qpV,4mNsLZfFzPAFb0O5hRB5Mg,Brooklyn,-73.9886270002359,40.7015920002706,https://www.google.com/maps/@?api=1&map_action=pano&pano=4mNsLZfFzPAFb0O5hRB5Mg,,2019-07,3,0.0,0.0
AXkw4-5D2iuwklCl-qpW,Lce1TBWkA1QjpHQOrFnslQ,Brooklyn,-73.9504190000368,40.6408289995587,https://www.google.com/maps/@?api=1&map_action=pano&pano=Lce1TBWkA1QjpHQOrFnslQ,,2020-11,3,0.0,3.0
AXkw4-622iuwklCl-qpb,K3lN4b22dya8-mRSapTrJQ,Brooklyn,-73.9466109997978,40.6410639996039,https://www.google.com/maps/@?api=1&map_action=pano&pano=K3lN4b22dya8-mRSapTrJQ,,2019-07,3,0.0,0.0
AXkw4-6n2iuwklCl-qpa,n_c9AJEg0jU3Dc7LN6fB8w,Brooklyn,-73.988691499613,40.6950227000376,https://www.google.com/maps/@?api=1&map_action=pano&pano=n_c9AJEg0jU3Dc7LN6fB8w,,2012-06,3,0.0,3.0
AXkw4-752iuwklCl-qpe,bbfobrZRI_5cU3XVxgrJSg,Brooklyn,-73.9437199995783,40.6412419997185,https://www.google.com/maps/@?api=1&map_action=pano&pano=bbfobrZRI_5cU3XVxgrJSg,,2020-11,3,0.0,0.0
AXkw4-7S2iuwklCl-qpc,MhL1bk3eGXJKWSL4py9wkw,Brooklyn,-73.9711419997035,40.689543999556,https://www.google.com/maps/@?api=1&map_action=pano&pano=MhL1bk3eGXJKWSL4py9wkw,,2019-07,3,0.0,0.0
AXkw4-7Z2iuwklCl-qpd,ZbQXCjKdp0C07tImbLPP4Q,Brooklyn,-73.9446530003357,40.6411859998341,https://www.google.com/maps/@?api=1&map_action=pano&pano=ZbQXCjKdp0C07tImbLPP4Q,,2020-11,3,0.0,0.0
AXkw4-8N2iuwklCl-qpf,2pAFsB0N8y50GSNhvUMHBw,Brooklyn,-73.9728123995725,40.6979393003585,https://www.google.com/maps/@?api=1&map_action=pano&pano=2pAFsB0N8y50GSNhvUMHBw,,2013-01,3,0.0,0.0
AXkw4-8l2iuwklCl-qpg,hPXqpPj6alJJe5cOOOV-iw,Brooklyn,-73.9417820001391,40.6413649999948,https://www.google.com/maps/@?api=1&map_action=pano&pano=hPXqpPj6alJJe5cOOOV-iw,,2011-06,3,0.0,0.0
AXkw4-8v2iuwklCl-qph,IgxrmWH8Wt3rXm3Md0xGrw,Brooklyn,-73.9702299000898,40.6846209002344,https://www.google.com/maps/@?api=1&map_action=pano&pano=IgxrmWH8Wt3rXm3Md0xGrw,,2020-11,3,0.0,1.0
AXkw4-902iuwklCl-qpk,HGSh9i5DlVRRTpBdoirRzg,Brooklyn,-73.9399140003308,40.6414809999482,https://www.google.com/maps/@?api=1&map_action=pano&pano=HGSh9i5DlVRRTpBdoirRzg,,2020-11,3,0.0,1.0
AXkw4-942iuwklCl-qpl,IJwO120i3lUSES69zR5nIw,Brooklyn,-73.9707640002584,40.6876379997939,https://www.google.com/maps/@?api=1&map_action=pano&pano=IJwO120i3lUSES69zR5nIw,,2020-11,3,0.0,2.0
AXkw4-9Q2iuwklCl-qpi,MibyQH3pB4jQ19mZte7K4w,Brooklyn,-73.9704700001903,40.6861739997303,https://www.google.com/maps/@?api=1&map_action=pano&pano=MibyQH3pB4jQ19mZte7K4w,,2020-11,3,0.0,0.0
AXkw4-9R2iuwklCl-qpj,oJN1I6CVVLMwTf-Z-tUA1A,Brooklyn,-73.940848000235,40.6414240000177,https://www.google.com/maps/@?api=1&map_action=pano&pano=oJN1I6CVVLMwTf-Z-tUA1A,,2020-11,3,0.0,0.0
AXkw4-A12iuwklCl-qmj,YT17Jk5UoQjarI3vp8PBig,Brooklyn,-74.0218299998546,40.6176429996248,https://www.google.com/maps/@?api=1&map_action=pano&pano=YT17Jk5UoQjarI3vp8PBig,,2019-07,3,0.0,0.0
AXkw4-AULVwDtjXR1gZM,QEEBiEAQ8JGbwmyeynAFWQ,Brooklyn,-74.0396869995553,40.6239570003154,https://www.google.com/maps/@?api=1&map_action=pano&pano=QEEBiEAQ8JGbwmyeynAFWQ,,2019-06,3,0.0,0.0
AXkw4-An2iuwklCl-qmi,sg49znSs1dK1u87lcEDH_w,Brooklyn,-73.9645493998349,40.6810636004049,https://www.google.com/maps/@?api=1&map_action=pano&pano=sg49znSs1dK1u87lcEDH_w,,2019-10,3,0.0,0.0
AXkw4-Bh2iuwklCl-qmk,9HM_K7bHEHa_8kvg61qCPA,Brooklyn,-74.0343230004061,40.6226830000205,https://www.google.com/maps/@?api=1&map_action=pano&pano=9HM_K7bHEHa_8kvg61qCPA,,2019-07,3,0.0,0.0
AXkw4-ByLVwDtjXR1gZO,r9nbI3dJtbqULWBUUaE5Lg,Brooklyn,-73.9303144002893,40.6773002002441,https://www.google.com/maps/@?api=1&map_action=pano&pano=r9nbI3dJtbqULWBUUaE5Lg,,2020-10,3,0.0,0.0
AXkw4-C22iuwklCl-qmm,vq_iChN6P9CfQYYWbPTxTw,Brooklyn,-73.8912520999044,40.6763565002523,https://www.google.com/maps/@?api=1&map_action=pano&pano=vq_iChN6P9CfQYYWbPTxTw,,2018-06,3,0.0,0.0
AXkw4-CDLVwDtjXR1gZP,6RvCkh3cdh0nDmxv3Py9Fg,Brooklyn,-74.0407794995742,40.6242136002775,https://www.google.com/maps/@?api=1&map_action=pano&pano=6RvCkh3cdh0nDmxv3Py9Fg,,2019-06,3,0.0,0.0
AXkw4-CT2iuwklCl-qml,1we5CFKikbhTYOFp06uPgw,Brooklyn,-73.8912915001026,40.676519700224,https://www.google.com/maps/@?api=1&map_action=pano&pano=1we5CFKikbhTYOFp06uPgw,,2018-07,3,0.0,0.0
AXkw4-CvLVwDtjXR1gZQ,C_TZj3ztbXyDd-35i9w7hQ,Brooklyn,-74.0372820001641,40.622637999744,https://www.google.com/maps/@?api=1&map_action=pano&pano=C_TZj3ztbXyDd-35i9w7hQ,,2019-06,3,0.0,0.0
AXkw4-D1LVwDtjXR1gZS,QldhMkED72dfmu78IO0ByQ,Brooklyn,-74.0346009997363,40.6220010000462,https://www.google.com/maps/@?api=1&map_action=pano&pano=QldhMkED72dfmu78IO0ByQ,,2019-06,3,0.0,1.0
AXkw4-DSLVwDtjXR1gZR,bY0TkpbI251igxw_In_4IQ,Brooklyn,-74.0399609996004,40.6232760003871,https://www.google.com/maps/@?api=1&map_action=pano&pano=bY0TkpbI251igxw_In_4IQ,,2019-07,3,0.0,1.0
AXkw4-DY2iuwklCl-qmn,43s5dtXWjooxUf5IrXc6GQ,Brooklyn,-73.9034641000881,40.6760291002628,https://www.google.com/maps/@?api=1&map_action=pano&pano=43s5dtXWjooxUf5IrXc6GQ,,2019-11,3,0.0,0.0
AXkw4-EC2iuwklCl-qmo,tFojGJEXwxdNGLpuJLm80g,Brooklyn,-73.9675545995651,40.6818402000652,https://www.google.com/maps/@?api=1&map_action=pano&pano=tFojGJEXwxdNGLpuJLm80g,,2020-11,3,0.0,0.0
